Dates,Unnamed: 0_y,Month,DatePublishKey,DateReferenceDataKey,Year,isLatest,ProductName,LocationName,Area Harvested_Million Acres,Area Planted_Million Acres,Average Farm Price_US Dollars/Bushel,Begining Stocks_Million Bushels,Crushing_Million Bushels,Ending Stocks_Million Bushels,Exports_Million Bushels,Imports_Million Bushels,Production_Million Bushels,Residual Use_Million Bushels,Seed Use_Million Bushels,Total demand_Million Bushels,Total Supply_Million Bushels,Yield_Bushels/Acre,Date
10/9/1984,,,,,,,,,,,,,,,,,,,,,,,
11/9/1984,,,,,,,,,,,,,,,,,,,,,,,
12/9/1984,,,,,,,,,,,,,,,,,,,,,,,
13/9/1984,,,,,,,,,,,,,,,,,,,,,,,
14/9/1984,,,,,,,,,,,,,,,,,,,,,,,
17/9/1984,,,,,,,,,,,,,,,,,,,,,,,
18/9/1984,,,,,,,,,,,,,,,,,,,,,,,
19/9/1984,,,,,,,,,,,,,,,,,,,,,,,
20/9/1984,,,,,,,,,,,,,,,,,,,,,,,
21/9/1984,,,,,,,,,,,,,,,,,,,,,,,
25/9/1984,,,,,,,,,,,,,,,,,,,,,,,
26/9/1984,,,,,,,,,,,,,,,,,,,,,,,
27/9/1984,,,,,,,,,,,,,,,,,,,,,,,
28/9/1984,,,,,,,,,,,,,,,,,,,,,,,
1/10/1984,,,,,,,,,,,,,,,,,,,,,,,
2/10/1984,,,,,,,,,,,,,,,,,,,,,,,
3/10/1984,,,,,,,,,,,,,,,,,,,,,,,
4/10/1984,,,,,,,,,,,,,,,,,,,,,,,
5/10/1984,,,,,,,,,,,,,,,,,,,,,,,
8/10/1984,,,,,,,,,,,,,,,,,,,,,,,
9/10/1984,,,,,,,,,,,,,,,,,,,,,,,
11/10/1984,,,,,,,,,,,,,,,,,,,,,,,
12/10/1984,,,,,,,,,,,,,,,,,,,,,,,
15/10/1984,,,,,,,,,,,,,,,,,,,,,,,
16/10/1984,,,,,,,,,,,,,,,,,,,,,,,
17/10/1984,,,,,,,,,,,,,,,,,,,,,,,
18/10/1984,,,,,,,,,,,,,,,,,,,,,,,
19/10/1984,,,,,,,,,,,,,,,,,,,,,,,
22/10/1984,,,,,,,,,,,,,,,,,,,,,,,
23/10/1984,,,,,,,,,,,,,,,,,,,,,,,
24/10/1984,,,,,,,,,,,,,,,,,,,,,,,
25/10/1984,,,,,,,,,,,,,,,,,,,,,,,
26/10/1984,,,,,,,,,,,,,,,,,,,,,,,
29/10/1984,,,,,,,,,,,,,,,,,,,,,,,
30/10/1984,,,,,,,,,,,,,,,,,,,,,,,
31/10/1984,,,,,,,,,,,,,,,,,,,,,,,
1/11/1984,,,,,,,,,,,,,,,,,,,,,,,
2/11/1984,,,,,,,,,,,,,,,,,,,,,,,
5/11/1984,,,,,,,,,,,,,,,,,,,,,,,
6/11/1984,,,,,,,,,,,,,,,,,,,,,,,
7/11/1984,,,,,,,,,,,,,,,,,,,,,,,
8/11/1984,,,,,,,,,,,,,,,,,,,,,,,
9/11/1984,,,,,,,,,,,,,,,,,,,,,,,
12/11/1984,,,,,,,,,,,,,,,,,,,,,,,
13/11/1984,,,,,,,,,,,,,,,,,,,,,,,
14/11/1984,,,,,,,,,,,,,,,,,,,,,,,
15/11/1984,,,,,,,,,,,,,,,,,,,,,,,
16/11/1984,,,,,,,,,,,,,,,,,,,,,,,
19/11/1984,,,,,,,,,,,,,,,,,,,,,,,
20/11/1984,,,,,,,,,,,,,,,,,,,,,,,
21/11/1984,,,,,,,,,,,,,,,,,,,,,,,
22/11/1984,,,,,,,,,,,,,,,,,,,,,,,
26/11/1984,,,,,,,,,,,,,,,,,,,,,,,
27/11/1984,,,,,,,,,,,,,,,,,,,,,,,
28/11/1984,,,,,,,,,,,,,,,,,,,,,,,
29/11/1984,,,,,,,,,,,,,,,,,,,,,,,
30/11/1984,,,,,,,,,,,,,,,,,,,,,,,
3/12/1984,,,,,,,,,,,,,,,,,,,,,,,
4/12/1984,,,,,,,,,,,,,,,,,,,,,,,
5/12/1984,,,,,,,,,,,,,,,,,,,,,,,
6/12/1984,,,,,,,,,,,,,,,,,,,,,,,
7/12/1984,,,,,,,,,,,,,,,,,,,,,,,
10/12/1984,,,,,,,,,,,,,,,,,,,,,,,
11/12/1984,,,,,,,,,,,,,,,,,,,,,,,
12/12/1984,,,,,,,,,,,,,,,,,,,,,,,
13/12/1984,,,,,,,,,,,,,,,,,,,,,,,
14/12/1984,,,,,,,,,,,,,,,,,,,,,,,
17/12/1984,,,,,,,,,,,,,,,,,,,,,,,
18/12/1984,,,,,,,,,,,,,,,,,,,,,,,
19/12/1984,,,,,,,,,,,,,,,,,,,,,,,
