Dates,PX_LAST,PX_SETTLE,PX_VOLUME
3/1/2000,464.5,464.5,29491
4/1/2000,471.5,471.5,31915
5/1/2000,477,477,37256
6/1/2000,475.5,475.5,38308
7/1/2000,478.75,478.75,30272
10/1/2000,473.5,473.5,33707
11/1/2000,474.5,474.5,31831
12/1/2000,480.25,480.25,47620
13/1/2000,489,489,49373
14/1/2000,496.25,496.25,51431
17/1/2000,496.25,496.25,51431
18/1/2000,502.25,502.25,44484
19/1/2000,501,501,35819
20/1/2000,505.5,505.5,38786
21/1/2000,505.25,505.25,34129
24/1/2000,512,512,36702
25/1/2000,517,517,27614
26/1/2000,513.25,513.25,27741
27/1/2000,527,527,57792
28/1/2000,523.5,523.5,39415
31/1/2000,508,508,39906
1/2/2000,510,510,32556
2/2/2000,507.5,507.5,24412
3/2/2000,501,501,34557
4/2/2000,505.5,505.5,34832
7/2/2000,506.5,506.5,28758
8/2/2000,500.25,500.25,27488
9/2/2000,503.75,503.75,26136
10/2/2000,513,513,36232
11/2/2000,505.25,505.25,36370
14/2/2000,505,505,23538
15/2/2000,508.75,508.75,29105
16/2/2000,507.5,507.5,30376
17/2/2000,508,508,25425
18/2/2000,514.5,514.5,33327
21/2/2000,514.5,514.5,33327
22/2/2000,513,513,38583
23/2/2000,499.75,499.75,30624
24/2/2000,504.5,504.5,21436
25/2/2000,497,497,22196
28/2/2000,497.75,497.75,26036
29/2/2000,501.25,501.25,17012
1/3/2000,506.25,506.25,30845
2/3/2000,510.5,510.5,41524
3/3/2000,513,513,31322
6/3/2000,517.25,517.25,27682
7/3/2000,511.5,511.5,34006
8/3/2000,515.5,515.5,31920
9/3/2000,516.5,516.5,28519
10/3/2000,509.75,509.75,37262
13/3/2000,523,523,46533
14/3/2000,530,530,47002
15/3/2000,525,525,30405
16/3/2000,525.5,525.5,43375
17/3/2000,537.5,537.5,41747
20/3/2000,525.75,525.75,35169
21/3/2000,526.75,526.75,25404
22/3/2000,531,531,26177
23/3/2000,522,522,33540
24/3/2000,530.75,530.75,35915
27/3/2000,531.5,531.5,24684
28/3/2000,526.5,526.5,22069
29/3/2000,529,529,23408
30/3/2000,537.5,537.5,28922
31/3/2000,545.5,545.5,45047
3/4/2000,546.5,546.5,36409
4/4/2000,538.5,538.5,41168
5/4/2000,543,543,29480
6/4/2000,531,531,29613
7/4/2000,538.75,538.75,31018
10/4/2000,532,532,21739
11/4/2000,528,528,30968
12/4/2000,537.5,537.5,30449
13/4/2000,538.25,538.25,21901
14/4/2000,532.5,532.5,21035
17/4/2000,531.5,531.5,14372
18/4/2000,534,534,15375
19/4/2000,537.5,537.5,14823
20/4/2000,536.25,536.25,12476
21/4/2000,536.25,536.25,12476
24/4/2000,544,544,14189
25/4/2000,543,543,20547
26/4/2000,540.25,540.25,19289
27/4/2000,532.5,532.5,23167
28/4/2000,526.5,526.5,15407
1/5/2000,567.75,567.75,71897
2/5/2000,565.5,565.5,37540
3/5/2000,572,572,52954
4/5/2000,572.25,572.25,33545
5/5/2000,566,566,38027
8/5/2000,559,559,41858
9/5/2000,556,556,30695
10/5/2000,570,570,42947
11/5/2000,568.5,568.5,32380
12/5/2000,565.75,565.75,31747
15/5/2000,549.75,549.75,60324
16/5/2000,543.75,543.75,32303
17/5/2000,541.25,541.25,41554
18/5/2000,547.75,547.75,57487
19/5/2000,554.5,554.5,25828
22/5/2000,553,553,29786
23/5/2000,548.75,548.75,24815
24/5/2000,542.25,542.25,38457
25/5/2000,527.25,527.25,67698
26/5/2000,534.25,534.25,30897
29/5/2000,534.25,534.25,30897
30/5/2000,517,517,45661
31/5/2000,517.5,517.5,27704
1/6/2000,522.5,522.5,26486
2/6/2000,533.75,533.75,29001
5/6/2000,529.25,529.25,33202
6/6/2000,530.5,530.5,33682
7/6/2000,522.5,522.5,37965
8/6/2000,521.5,521.5,26193
9/6/2000,520.75,520.75,30315
12/6/2000,510.5,510.5,47772
13/6/2000,510.5,510.5,36903
14/6/2000,510.75,510.75,52537
15/6/2000,510,510,32108
16/6/2000,504.75,504.75,20005
19/6/2000,505,505,15690
20/6/2000,501,501,16507
21/6/2000,506.5,506.5,18158
22/6/2000,501.75,501.75,13067
23/6/2000,498,498,18790
26/6/2000,499.5,499.5,19810
27/6/2000,497.25,497.25,14623
28/6/2000,488.5,488.5,23872
29/6/2000,490.75,490.75,23443
30/6/2000,477.5,477.5,17431
3/7/2000,472.5,472.5,11153
4/7/2000,472.5,472.5,11153
5/7/2000,474.75,474.75,10905
6/7/2000,469.25,469.25,14131
7/7/2000,473.25,473.25,9668
10/7/2000,473.5,473.5,10505
11/7/2000,469.5,469.5,8911
12/7/2000,472.25,472.25,12760
13/7/2000,466.5,466.5,11547
14/7/2000,462,462,9124
17/7/2000,457.5,457.5,9798
18/7/2000,455.5,455.5,8979
19/7/2000,452.5,452.5,15804
20/7/2000,456,456,8569
