Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
7/1/2000,472.5,480.5,463.25,478.75,167242
14/1/2000,476,498,471.5,496.25,213962
21/1/2000,489,507.5,486.5,505.25,153218
28/1/2000,510.25,529.5,508,523.5,189264
4/2/2000,519.5,519.5,495,505.5,166263
11/2/2000,505,514,496.75,505.25,154984
18/2/2000,503.75,516,501.5,514.5,141771
25/2/2000,514,519.5,492,497,112839
3/3/2000,495,516.75,493,513,146739
10/3/2000,512.5,520,508,509.75,159389
17/3/2000,511,538.5,511,537.5,209062
24/3/2000,527.5,534,519.5,530.75,156205
31/3/2000,530.5,548.5,523.5,545.5,144130
7/4/2000,544,554,526,538.75,167688
14/4/2000,535.5,549,525.25,532.5,126092
21/4/2000,528,538,526,536.25,57046
28/4/2000,536.25,547.5,522.5,526.5,92599
5/5/2000,546.25,582.5,545.5,566,233963
12/5/2000,570,573,554,565.75,179627
19/5/2000,560,560.5,536.5,554.5,217496
26/5/2000,552.5,560,525,534.25,191653
2/6/2000,526.5,534.5,512.25,533.75,128852
9/6/2000,537.75,542,517.5,520.75,161357
16/6/2000,515.5,517,499.5,504.75,189325
23/6/2000,508,512,497.25,498,82212
30/6/2000,499,505.5,477,477.5,99179
7/7/2000,482.75,482.75,467,473.25,45857
14/7/2000,469.75,475,455,462,52847
21/7/2000,460.5,461,451,460.25,55146
28/7/2000,460.25,466,447,448,57891
4/8/2000,444,449.75,438.75,440.75,19432
11/8/2000,443.5,457,436.75,452.5,19105
18/8/2000,453,466.5,451.25,458.25,18604
25/8/2000,456.75,466.5,454.25,461.75,13430
1/9/2000,463.5,508,463.5,503.5,74455
8/9/2000,508,515.5,488,505,157626
15/9/2000,503.5,511,482.5,483.25,167397
22/9/2000,483.25,499.5,482,496,157678
29/9/2000,495.75,502.75,489.25,490.5,160405
6/10/2000,488.25,493.5,481.5,485,157060
13/10/2000,484,486.5,465,466,175180
20/10/2000,465.25,475.5,463.5,468.75,163822
27/10/2000,468,470.5,456,456.5,157500
3/11/2000,456.5,486.5,453.5,484.25,163476
10/11/2000,485.5,491,471,472.5,154495
17/11/2000,472,489,471,487.75,139469
24/11/2000,486.25,502,486.25,500.75,91668
1/12/2000,500.5,509.5,495.5,508,174328
8/12/2000,508,512.5,498.25,511.5,150284
15/12/2000,510,513.75,503.5,507.25,122052
22/12/2000,508.5,514,505.5,510.25,88800
29/12/2000,510,510.75,496,499.5,76464
5/1/2001,510,510.5,496,497.25,120469
12/1/2001,496,504,477.25,482.5,171575
19/1/2001,482,483.5,470.25,470.75,121979
26/1/2001,470.25,477.75,459,460.25,147797
2/2/2001,460,469,456.25,468.5,117498
9/2/2001,467.75,469.5,452,456.25,134321
16/2/2001,455,458.75,449.5,454,117371
23/2/2001,456.25,463,447,448,90795
2/3/2001,447.25,464,447,458,102469
9/3/2001,458.5,470,458,462,137977
16/3/2001,462.5,463.5,438,443,133081
23/3/2001,443,449.5,433.5,436.5,113703
30/3/2001,438,445.5,428,428.5,105734
6/4/2001,432.75,439.5,428,436,72807
